postcode,locality,state,long,lat
2100,BROOKVALE,NSW,151.257781,-33.766409
2100,NORTH MANLY,NSW,151.257781,-33.766409
2100,OXFORD FALLS,NSW,151.257781,-33.766409
2100,WARRINGAH MALL,NSW,151.257781,-33.766409
2101,ELANORA HEIGHTS,NSW,151.27114,-33.707117
2101,INGLESIDE,NSW,151.27114,-33.707117
2101,NARRABEEN,NSW,151.27114,-33.707117
2101,NARRABEEN PENINSULA,NSW,151.27114,-33.707117
2101,NORTH NARRABEEN,NSW,151.27114,-33.707117
2102,WARRIEWOOD,NSW,151.290953,-33.689941
2102,WARRIEWOOD DC,NSW,0,0
2102,WARRIEWOOD SHOPPING SQUARE,NSW,151.290953,-33.689941
2103,MONA VALE,NSW,151.302825,-33.679336
2104,BAYVIEW,NSW,151.290921,-33.664921
2105,CHURCH POINT,NSW,151.278293,-33.642202
2105,ELVINA BAY,NSW,151.278293,-33.642202
2105,LOVETT BAY,NSW,151.278293,-33.642202
2105,MCCARRS CREEK,NSW,151.2761086,-33.64341347
2105,MORNING BAY,NSW,151.2815376,-33.62434025
2105,SCOTLAND ISLAND,NSW,151.278293,-33.642202
2106,NEWPORT,NSW,151.314599,-33.660707
2106,NEWPORT BEACH,NSW,151.314599,-33.660707
2107,AVALON,NSW,151.323289,-33.634816
2107,AVALON BEACH,NSW,151.323289,-33.634816
2107,BILGOLA,NSW,151.323289,-33.634816
2107,BILGOLA BEACH,NSW,151.323289,-33.634816
2107,BILGOLA PLATEAU,NSW,151.323289,-33.634816
2107,CAREEL BAY,NSW,151.323289,-33.634816
2107,CLAREVILLE,NSW,151.323289,-33.634816
2107,PARADISE BEACH,NSW,151.323289,-33.634816
2107,TAYLORS POINT,NSW,151.323289,-33.634816
2107,WHALE BEACH,NSW,151.323289,-33.634816
2108,COASTERS RETREAT,NSW,151.322759,-33.60382
2108,CURRAWONG BEACH,NSW,151.322759,-33.60382
2108,GREAT MACKEREL BEACH,NSW,151.322759,-33.60382
2108,MORNING BAY,NSW,151.322759,-33.60382
2108,PALM BEACH,NSW,151.322759,-33.60382
2108,THE BASIN,NSW,151.322759,-33.60382
2109,MACQUARIE UNIVERSITY,NSW,151.113473,-33.771558
2110,HUNTERS HILL,NSW,151.149126,-33.836102
2110,HUNTERS HILL WEST,NSW,151.149126,-33.836102
2110,WOOLWICH,NSW,151.149126,-33.836102
2111,BORONIA PARK,NSW,151.124488,-33.829953
2111,GLADESVILLE,NSW,151.124488,-33.829953
2111,HENLEY,NSW,151.124488,-33.829953
2111,HUNTLEYS COVE,NSW,151.124488,-33.829953
2111,HUNTLEYS POINT,NSW,151.124488,-33.829953
2111,MONASH PARK,NSW,151.124488,-33.829953
2111,TENNYSON POINT,NSW,151.124488,-33.829953
2112,DENISTONE EAST,NSW,151.108447,-33.81658
2112,PUTNEY,NSW,151.108447,-33.81658
2112,RYDE,NSW,151.108447,-33.81658
2113,BLENHEIM ROAD,NSW,151.130233,-33.79419
2113,EAST RYDE,NSW,151.130233,-33.79419
2113,MACQUARIE CENTRE,NSW,151.130233,-33.79419
2113,MACQUARIE PARK,NSW,151.130233,-33.79419
2113,NORTH RYDE,NSW,151.130233,-33.79419
2114,DENISTONE,NSW,151.084181,-33.810991
2114,DENISTONE WEST,NSW,151.084181,-33.810991
2114,MEADOWBANK,NSW,151.084181,-33.810991
2114,MELROSE PARK,NSW,151.084181,-33.810991
2114,WEST RYDE,NSW,151.084181,-33.810991
2115,ERMINGTON,NSW,151.059845,-33.813106
2116,RYDALMERE,NSW,151.036941,-33.814368
2117,DUNDAS,NSW,151.04218,-33.797127
2117,DUNDAS VALLEY,NSW,151.04218,-33.797127
2117,OATLANDS,NSW,151.04218,-33.797127
2117,TELOPEA,NSW,151.04218,-33.797127
2118,CARLINGFORD,NSW,151.043518,-33.775596
2118,CARLINGFORD COURT,NSW,151.043518,-33.775596
2118,CARLINGFORD NORTH,NSW,151.043518,-33.775596
2118,KINGSDENE,NSW,151.043518,-33.775596
2119,BEECROFT,NSW,151.064176,-33.755499
2119,CHELTENHAM,NSW,151.064176,-33.755499
2120,PENNANT HILLS,NSW,151.07359,-33.731105
2120,THORNLEIGH,NSW,151.07359,-33.731105
2120,WESTLEIGH,NSW,151.07359,-33.731105
2121,EPPING,NSW,151.079919,-33.774145
2121,NORTH EPPING,NSW,151.079919,-33.774145
2122,EASTWOOD,NSW,151.092072,-33.791357
2122,MARSFIELD,NSW,151.092072,-33.791357
2123,PARRAMATTA,NSW,150.999575,-33.815446
2124,PARRAMATTA,NSW,151.139472,-33.886166
2125,WEST PENNANT HILLS,NSW,151.031807,-33.752645
2126,CHERRYBROOK,NSW,151.043941,-33.724898
2127,HOMEBUSH BAY,NSW,151.076186,-33.85283
2127,NEWINGTON,NSW,151.076186,-33.85283
2127,SYDNEY OLYMPIC PARK,NSW,151.0689007,-33.83966376
2127,WENTWORTH POINT,NSW,151.0771675,-33.82764565
2128,SILVERWATER,NSW,151.047591,-33.835928
2129,SYDNEY MARKETS,NSW,151.069553,-33.864104
2130,SUMMER HILL,NSW,151.135883,-33.892783
2131,ASHFIELD,NSW,151.124008,-33.887602
2132,CROYDON,NSW,151.113385,-33.882419
2133,CROYDON PARK,NSW,151.102087,-33.898793
2133,ENFIELD SOUTH,NSW,151.102087,-33.898793
2134,BURWOOD,NSW,151.101757,-33.880049
2134,BURWOOD NORTH,NSW,151.101757,-33.880049
2135,STRATHFIELD,NSW,151.084759,-33.881009
2136,BURWOOD HEIGHTS,NSW,151.087741,-33.892944
2136,ENFIELD,NSW,151.087741,-33.892944
2136,STRATHFIELD SOUTH,NSW,151.087741,-33.892944
2137,BREAKFAST POINT,NSW,151.103751,-33.85749
2137,CABARITA,NSW,151.103751,-33.85749
2137,CONCORD,NSW,151.103751,-33.85749
2137,MORTLAKE,NSW,151.103751,-33.85749
2137,NORTH STRATHFIELD,NSW,151.103751,-33.85749
2138,CONCORD WEST,NSW,151.086036,-33.846098
2138,CONCORD WEST DC,NSW,0,0
2138,LIBERTY GROVE,NSW,151.086036,-33.846098
2138,RHODES,NSW,151.086036,-33.846098
2139,CONCORD REPATRIATION HOSPITAL,NSW,151.095163,-33.835993
2140,HOMEBUSH,NSW,151.070853,-33.835018
2140,HOMEBUSH SOUTH,NSW,151.070853,-33.835018
2140,HOMEBUSH WEST,NSW,151.070853,-33.835018
2141,BERALA,NSW,151.044768,-33.872483
2141,LIDCOMBE,NSW,151.044768,-33.872483
2141,LIDCOMBE NORTH,NSW,151.044768,-33.872483
2141,ROOKWOOD,NSW,151.044768,-33.872483
2142,BLAXCELL,NSW,151.015196,-33.832747
2142,CAMELLIA,NSW,151.015196,-33.832747
2142,CLYDE,NSW,151.0220764,-33.83307675
2142,GRANVILLE,NSW,151.015196,-33.832747
2142,HOLROYD,NSW,151.015196,-33.832747
2142,ROSEHILL,NSW,151.015196,-33.832747
2142,SOUTH GRANVILLE,NSW,151.0106782,-33.85780796
2143,BIRRONG,NSW,151.021934,-33.885382
2143,POTTS HILL,NSW,151.021934,-33.885382
2143,REGENTS PARK,NSW,151.021934,-33.885382
2143,REGENTS PARK DC,NSW,0,0
2144,AUBURN,NSW,151.026756,-33.851868
2144,AUBURN SOUTH,NSW,151.026756,-33.851868
2145,CONSTITUTION HILL,NSW,150.9751544,-33.79382308
2145,GIRRAWEEN,NSW,150.957425,-33.813104
2145,GREYSTANES,NSW,150.957425,-33.813104
2145,MAYS HILL,NSW,150.957425,-33.813104
2145,PEMULWUY,NSW,150.957425,-33.813104
2145,PENDLE HILL,NSW,150.957425,-33.813104
2145,SOUTH WENTWORTHVILLE,NSW,150.957425,-33.813104
2145,WENTWORTHVILLE,NSW,150.957425,-33.813104
2145,WESTMEAD,NSW,150.957425,-33.813104
2146,OLD TOONGABBIE,NSW,150.959508,-33.789374
2146,TOONGABBIE,NSW,150.959508,-33.789374
2146,TOONGABBIE EAST,NSW,150.959508,-33.789374
2147,KINGS LANGLEY,NSW,150.935836,-33.766075
2147,LALOR PARK,NSW,150.935836,-33.766075
2147,SEVEN HILLS,NSW,150.935836,-33.766075
2147,SEVEN HILLS WEST,NSW,150.935836,-33.766075
2148,ARNDELL PARK,NSW,150.900547,-33.783751
2148,BLACKTOWN,NSW,150.900547,-33.783751
2148,BLACKTOWN WESTPOINT,NSW,150.900547,-33.783751
2148,HUNTINGWOOD,NSW,150.900547,-33.783751
2148,KINGS PARK,NSW,150.900547,-33.783751
2148,MARAYONG,NSW,150.900547,-33.783751
2148,PROSPECT,NSW,150.900547,-33.783751
2150,HARRIS PARK,NSW,151.006506,-33.814463
2150,PARRAMATTA,NSW,151.006506,-33.814463
2150,PARRAMATTA WESTFIELD,NSW,151.006506,-33.814463
2151,NORTH PARRAMATTA,NSW,151.012511,-33.78709
2151,NORTH ROCKS,NSW,151.012511,-33.78709
2152,NORTHMEAD,NSW,150.996388,-33.782501
2153,BAULKHAM HILLS,NSW,150.955942,-33.731651
2153,BELLA VISTA,NSW,150.955942,-33.731651
2153,CRESTWOOD,NSW,150.955942,-33.731651
2153,WINSTON HILLS,NSW,150.955942,-33.731651
2154,CASTLE HILL,NSW,151.000948,-33.73238
2155,BEAUMONT HILLS,NSW,150.931074,-33.731523
2155,KELLYVILLE,NSW,150.931074,-33.731523
2155,KELLYVILLE RIDGE,NSW,150.931074,-33.731523
2155,NORTH KELLYVILLE,NSW,0,0
2155,ROUSE HILL,NSW,150.931074,-33.731523
2156,ANNANGROVE,NSW,150.974528,-33.656984
2156,GLENHAVEN,NSW,150.974528,-33.656984
2156,KENTHURST,NSW,150.974528,-33.656984
2157,CANOELANDS,NSW,150.991055,-33.602167
2157,FOREST GLEN,NSW,150.991055,-33.602167
2157,GLENORIE,NSW,150.991055,-33.602167
2157,HILLSIDE,NSW,150.991055,-33.602167
2158,DURAL,NSW,151.040358,-33.690331
2158,DURAL DC,NSW,0,0
2158,MIDDLE DURAL,NSW,151.040358,-33.690331
2158,ROUND CORNER,NSW,151.040358,-33.690331
2159,ARCADIA,NSW,151.084146,-33.539148
2159,BERRILEE,NSW,151.084146,-33.539148
2159,FIDDLETOWN,NSW,151.084146,-33.539148
2159,GALSTON,NSW,151.084146,-33.539148
2160,MERRYLANDS,NSW,150.976594,-33.835883
2160,MERRYLANDS WEST,NSW,150.976594,-33.835883
2161,GUILDFORD,NSW,150.983724,-33.858335
2161,GUILDFORD WEST,NSW,150.983724,-33.858335
2161,OLD GUILDFORD,NSW,150.983724,-33.858335
2161,YENNORA,NSW,150.983724,-33.858335
2162,CHESTER HILL,NSW,151.004128,-33.88349
2162,SEFTON,NSW,151.004128,-33.88349
2163,CARRAMAR,NSW,150.979458,-33.887203
2163,LANSDOWNE,NSW,150.979458,-33.887203
2163,VILLAWOOD,NSW,150.979458,-33.887203
2164,SMITHFIELD,NSW,150.875028,-33.844153
2164,SMITHFIELD WEST,NSW,150.875028,-33.844153
2164,WETHERILL PARK,NSW,150.875028,-33.844153
2164,WETHERILL PARK BC,NSW,0,0
2164,WOODPARK,NSW,150.875028,-33.844153
2165,FAIRFIELD,NSW,150.947496,-33.872435
2165,FAIRFIELD EAST,NSW,150.947496,-33.872435
2165,FAIRFIELD HEIGHTS,NSW,150.947496,-33.872435
2165,FAIRFIELD WEST,NSW,150.947496,-33.872435
2166,CABRAMATTA,NSW,150.92937,-33.892738
2166,CABRAMATTA WEST,NSW,150.92937,-33.892738
2166,CANLEY HEIGHTS,NSW,150.92937,-33.892738
2166,CANLEY VALE,NSW,150.92937,-33.892738
2166,LANSVALE,NSW,150.92937,-33.892738
2167,GLENFIELD,NSW,150.890441,-33.972167
2168,ASHCROFT,NSW,150.875345,-33.915939
2168,BUSBY,NSW,150.875345,-33.915939
2168,CARTWRIGHT,NSW,150.875345,-33.915939
2168,GREEN VALLEY,NSW,150.875345,-33.915939
2168,HECKENBERG,NSW,150.875345,-33.915939
2168,HINCHINBROOK,NSW,150.875345,-33.915939
2168,MILLER,NSW,150.875345,-33.915939
2168,SADLEIR,NSW,150.875345,-33.915939
2170,CASULA,NSW,150.921448,-33.928392
2170,CASULA MALL,NSW,150.921448,-33.928392
2170,CHIPPING NORTON,NSW,150.921448,-33.928392
2170,HAMMONDVILLE,NSW,150.921448,-33.928392
2170,LIVERPOOL,NSW,150.921448,-33.928392
2170,LIVERPOOL SOUTH,NSW,150.921448,-33.928392
2170,LIVERPOOL WESTFIELD,NSW,150.921448,-33.928392
2170,LURNEA,NSW,150.921448,-33.928392
2170,MOOREBANK,NSW,150.921448,-33.928392
2170,MOUNT PRITCHARD,NSW,150.921448,-33.928392
2170,PRESTONS,NSW,150.921448,-33.928392
2170,WARWICK FARM,NSW,150.921448,-33.928392
2171,CARNES HILL,NSW,150.8487366,-33.93771581
2171,CECIL HILLS,NSW,150.970931,-33.959617
2171,ELIZABETH HILLS,NSW,150.8482772,-33.90053335
2171,HORNINGSEA PARK,NSW,150.970931,-33.959617
2171,HOXTON PARK,NSW,150.970931,-33.959617
2171,LEN WATERS ESTATE,NSW,150.8528604,-33.91318072
2171,MIDDLETON GRANGE,NSW,150.8427566,-33.91465272
2171,WEST HOXTON,NSW,150.970931,-33.959617
2172,PLEASURE POINT,NSW,150.917444,-33.951109
2172,SANDY POINT,NSW,150.917444,-33.951109
2172,VOYAGER POINT,NSW,150.917444,-33.951109
2173,HOLSWORTHY,NSW,150.919554,-34.074239
2173,WATTLE GROVE,NSW,150.919554,-34.074239
2174,EDMONDSON PARK,NSW,150.856709,-33.977497
2174,INGLEBURN MILPO,NSW,150.856709,-33.977497
2175,HORSLEY PARK,NSW,150.848192,-33.845034
2176,ABBOTSBURY,NSW,150.88526,-33.872014
2176,BOSSLEY PARK,NSW,150.88526,-33.872014
2176,EDENSOR PARK,NSW,150.88526,-33.872014
2176,GREENFIELD PARK,NSW,150.88526,-33.872014
2176,PRAIRIEWOOD,NSW,150.88526,-33.872014
2176,ST JOHNS PARK,NSW,150.88526,-33.872014
2176,WAKELEY,NSW,150.88526,-33.872014
